Type;Ticket;Symbol;Lots;Buy/sell;Open price;Close price;Open time;Close time;Profit;Swap;Commission;T/P;S/L;Pips;Result;Trade duration (hours);Magic number;Order comment;MAE;MFE;FX Blue Live account
Closed position;66279515;EURGBP;0.09;Buy;0.88177;0.88238;2009/09/14 23:01:02;2009/09/14 23:09:41;9.09;0;0;0.88677;0.87434;6.1;Win;0.14;77777773;;0;0;example
Closed position;66286221;EURGBP;0.09;Sell;0.88238;0.88167;2009/09/15 00:53:45;2009/09/15 01:03:12;10.61;0;0;0.87638;0.8887;7.1;Win;0.16;33333337;;-0.00004;0.00156;example
Closed position;66286212;EURCHF;0.09;Sell;1.51274;1.51252;2009/09/15 00:53:40;2009/09/15 01:53:43;1.91;0;0;1.50674;1.51709;2.2;Win;1;33333337;;-0.00027;0.00054;example
Closed position;66292580;EURCHF;0.09;Buy;1.51201;1.51282;2009/09/15 01:58:04;2009/09/15 02:28:47;7.05;0;0;1.51801;1.50773;8.1;Win;0.51;33333337;;-0.00025;0.00083;example
Closed position;66287884;EURGBP;0.09;Buy;0.88149;0.87971;2009/09/15 01:03:19;2009/09/15 04:03:22;-26.62;0;0;0.88649;0.87434;-17.8;Loss;3;77777773;;-0.00222;0.00008;example
Closed position;66470516;EURUSD;0.09;Sell;1.46718;1.46614;2009/09/16 00:28:35;2009/09/16 01:06:25;9.36;0;0;1.46218;1.47141;10.4;Win;0.63;77777773;;-0.00009;0.00119;example
Closed position;66469127;EURGBP;0.18;Sell;0.88925;0.88981;2009/09/16 00:05:02;2009/09/16 12:14:18;-16.64;0;0;0.88325;0.89551;-5.6;Loss;12.15;33333337;;-0.00379;0.00065;example
Closed position;66640002;USDCHF;0.13;Sell;1.03193;1.03192;2009/09/17 00:00:17;2009/09/17 04:14:01;0.13;0;0;1.02593;1.03833;0.1;Win;4.23;33333337;;-0.00068;0.00139;example
Closed position;66643086;EURCHF;0.09;Sell;1.5181;1.51801;2009/09/17 00:51:04;2009/09/17 04:52:38;0.79;0;0;1.5121;1.52246;0.9;Win;4.03;33333337;;-0.00093;0.00048;example
Closed position;66641259;EURGBP;0.18;Sell;0.89257;0.89248;2009/09/17 00:12:13;2009/09/17 07:35:02;2.68;0;0;0.88657;0.89884;0.9;Win;7.38;33333337;;-0.00082;0.00057;example
Closed position;66812068;EURGBP;0.18;Sell;0.89642;0.8964;2009/09/18 01:59:32;2009/09/18 02:59:37;0.59;0;0;0.89142;0.90063;0.2;Win;1;77777773;;-0.00043;0.00039;example
Closed position;66811894;EURCHF;0.09;Sell;1.51613;1.51611;2009/09/18 01:58:47;2009/09/18 06:57:42;0.18;0;0;1.51013;1.52041;0.2;Win;4.98;33333337;;-0.00073;0.00021;example
Closed position;66808209;USDCHF;0.13;Sell;1.02868;1.02866;2009/09/18 00:53:13;2009/09/18 15:20:52;0.25;0;0;1.02268;1.03494;0.2;Win;14.46;33333337;;-0.00602;0.00082;example
Closed position;67113978;EURCHF;0.09;Sell;1.51544;1.51537;2009/09/22 00:27:53;2009/09/22 02:38:39;0.61;0;0;1.50944;1.51972;0.7;Win;2.18;33333337;;-0.00044;0.0003;example
Closed position;67115497;EURUSD;0.09;Sell;1.46819;1.4714;2009/09/22 00:45:42;2009/09/22 03:12:09;-28.89;0;0;1.46219;1.4714;-32.1;Loss;2.44;33333337;;-0.00334;0.00026;example
Closed position;67272110;EURCHF;0.09;Sell;1.51441;1.5139;2009/09/23 00:50:09;2009/09/23 01:23:56;4.5;0;0;1.50841;1.51871;5.1;Win;0.56;33333337;;-0.00035;0.00081;example
Closed position;67281020;EURGBP;0.18;Sell;0.90475;0.90414;2009/09/23 01:25:13;2009/09/23 01:30:49;18.01;0;0;0.89975;0.90925;6.1;Win;0.09;77777773;;0;0;example
Closed position;67280425;EURCHF;0.09;Buy;1.51317;1.51371;2009/09/23 01:24:53;2009/09/23 01:47:25;4.75;0;0;1.51817;1.50889;5.4;Win;0.38;77777773;;-0.00128;0.0015;example
Closed position;67278454;EURCHF;0.09;Buy;1.51407;1.51416;2009/09/23 01:23:32;2009/09/23 03:23:45;0.79;0;0;1.52007;1.50979;0.9;Win;2;33333337;;-0.00218;0.0006;example
Closed position;67457129;EURGBP;0.18;Buy;0.90015;0.90077;2009/09/23 23:59:14;2009/09/24 00:29:02;18.23;-0.35;0;0.90515;0.89592;6.2;Win;0.5;77777773;;-0.00057;0.00072;example
Closed position;67454675;USDCHF;0.13;Sell;1.02829;1.02761;2009/09/23 23:46:19;2009/09/24 00:46:21;8.6;-0.3;0;1.02329;1.03169;6.8;Win;1;77777773;;-0.00175;0.00109;example
Closed position;67467881;EURCHF;0.09;Sell;1.51312;1.51244;2009/09/24 01:14:31;2009/09/24 02:14:37;5.96;0;0;1.50712;1.51742;6.8;Win;1;33333337;;-0.00019;0.00078;example
Closed position;67694423;EURGBP;0.18;Sell;0.91339;0.91765;2009/09/25 00:48:40;2009/09/25 01:51:20;-122.25;0;0;0.90839;0.91765;-42.6;Loss;1.04;77777773;;-0.00584;0.0001;example
Closed position;67692479;EURGBP;0.18;Sell;0.91303;0.9193;2009/09/25 00:25:58;2009/09/25 01:55:36;-179.83;0;0;0.90703;0.9193;-62.7;Loss;1.49;33333337;;-0.00627;-0.00004;example
Closed position;67695616;USDCHF;0.13;Sell;1.0299;1.02989;2009/09/25 00:55:00;2009/09/25 01:58:04;0.13;0;0;1.0239;1.0363;0.1;Win;1.05;33333337;;-0.00162;0.00082;example
